SID,DATE,AGE,SMR,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._50,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._100,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._150,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._200,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._250,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._300,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._340,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365,ポンプ圧_LOADMAP_ポンプ圧(MAX).INDEX._365_,AVG,CID,SCORE
PC200-8-N1-315872,20170517,2815,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -306006,20170517,3851,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -306009,20170517,3851,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355060,20170517,1657,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355061,20170517,1616,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -456009,20190917,900,79633482,0.37736821554531547,0.09978472371709177,0.233370506139616,0.17537978560324663,0.06564517673608697,0.03209116235806441,0.01185871791968107,0.0032664777863160624,0.0012352341945816208,0.1111111111111111,7,2
PC200-10- -456008,20170517,48,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356377,20170517,1401,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355047,20170517,1661,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355040,20170517,1659,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307320,20170517,3697,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355041,20170517,1632,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355042,20170517,1632,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356374,20170517,1398,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355043,20170517,1632,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356373,20170517,1398,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307323,20170517,3675,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307324,20170517,3700,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307322,20170517,3639,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355048,20170517,1629,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307327,20170517,3701,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355049,20170517,1652,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8- -307325,20170517,3618,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-355050,20170517,1566,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451297,20190917,2054,71277200,0.46297861027088605,0.13639355923072174,0.22619108214127379,0.10246315792427312,0.03913247153367416,0.025828918644391193,0.0036305438485237916,0.002491932904210603,8.897235020455348E-4,0.1111111111111111,2,1
PC200-8-N1-315815,20170517,2785,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356365,20170517,1429,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-315816,20170517,2785,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356364,20170517,1430,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451296,20190917,2054,45530676,0.36868620180381245,0.14598419316242967,0.25577226219966515,0.12967169650632906,0.05361225034304345,0.036333262436077166,0.005266932562125807,0.003774378399301605,8.988225872157048E-4,0.1111111111111111,6,1
PC200-8-N1-315817,20170517,2785,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451299,20190917,2054,60325828,0.4201301638164005,0.14502867660598046,0.2327139877798279,0.11228185711765117,0.048737482724646564,0.03139892253115863,0.004783191703560207,0.0037700933006671704,0.0011556244201074207,0.1111111111111111,6,1
PC200-10- -451298,20190917,2054,46906091,0.34461825011169656,0.16100410072542604,0.2785689602657361,0.10981951150011626,0.054200977864473934,0.03908513715201721,0.0060110743400041584,0.004992848370161564,0.0016991396703681832,0.1111111111111111,3,1
PC200-8-N1-315818,20170517,2785,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-356361,20170517,1398,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451293,20190917,2029,96207499,0.37222958056523225,0.14204714956783152,0.23223252066868508,0.14822160588542063,0.05542773749892407,0.04107605998571899,0.004809916116829936,0.0030800821461952773,8.753475651622542E-4,0.1111111111111111,7,2
PC200-10- -451292,20190917,1706,68341736,0.31651341136549416,0.1917334379682717,0.26263727043749663,0.13342439823302119,0.0531620823913516,0.03452852002471813,0.004594659404028016,0.0028115176939608323,5.947024816577676E-4,0.1111111111111111,3,1
PC200-8-N1-356360,20170517,1399,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-10- -451295,20190917,2054,66644041,0.38059453807730537,0.13170736450390216,0.2553923913467372,0.14568499830314913,0.05097187909118536,0.02882086636973289,0.003865551910335089,0.002436706981799018,5.257034158537895E-4,0.1111111111111111,6,1
PC200-8-N1-356363,20170517,1429,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
PC200-8-N1-357693,20170517,1241,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
